nEvent , x0 , y0 , Ax , Ay , err_x0 , err_y0 , err_Ax , err_Ay , chi2 
82 , -0.0568713 , 0.130682 , 0.000108253 , -0.000248057 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00059789
82 , -11.8573 , 2.89393 , 0.0233985 , -0.00513364 , 0.0496204 , 0.0736781 , 3.63903e-05 , 5.99289e-05 , 69.4471
83 , -0.00610639 , -0.139722 , 2.58812e-05 , 0.000246025 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00358195
83 , 17.3547 , 2.88183 , -0.0309105 , -0.00597122 , 0.0691324 , 0.0497795 , 4.71207e-05 , 3.52785e-05 , 69.7854
84 , -2.57027 , 6.16013 , 0.00476603 , -0.011866 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 7.70843
84 , -0.113254 , -0.256368 , 0.000193286 , 0.000478184 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.022613
85 , 0.0706906 , -0.168891 , -0.000144628 , 0.00029512 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0510661
85 , 6.65291 , 9.31215 , -0.0128265 , -0.0171557 , 0.0876967 , 0.0497756 , 7.50093e-05 , 3.5352e-05 , 4.88231
87 , 0.692037 , 7.29371 , -0.00122841 , -0.0138726 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.674304
87 , -0.000560819 , -0.259894 , 2.66139e-06 , 0.00048222 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00768091
88 , 0.136425 , -0.0143498 , -0.000217739 , 8.25158e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 11.9192
88 , -11.3957 , 10.7467 , 0.0211782 , -0.0205964 , 0.0496204 , 0.0736781 , 3.63903e-05 , 5.99289e-05 , 84.6753
89 , 0.0536179 , 0.144469 , -9.19526e-05 , -0.000274625 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00529624
89 , -11.5515 , 7.86243 , 0.0208765 , -0.0150137 , 0.0890797 , 0.0747186 , 7.64409e-05 , 6.10824e-05 , 15.2841
90 , 0.147302 , 0.146288 , -0.0002919 , -0.000270966 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0462812
90 , -6.7284 , -5.64478 , 0.012451 , 0.010815 , 0.0876967 , 0.0497756 , 7.50093e-05 , 3.5352e-05 , 1.35237
91 , 0.0682794 , 0.107719 , -0.000104222 , -0.000202412 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0236468
91 , 15.601 , -0.675975 , -0.0304835 , 0.00203037 , 0.0691324 , 0.0497795 , 4.71207e-05 , 3.52785e-05 , 8.73302
92 , -0.136253 , 0.0444472 , 0.000257511 , -7.71224e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00663651
92 , -7.31035 , 12.6734 , 0.012223 , -0.0233489 , 0.0691324 , 0.0497795 , 4.71207e-05 , 3.52785e-05 , 33.7681
93 , 0.0359803 , -0.131852 , -5.16587e-05 , 0.000255638 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0344593
93 , 13.0986 , -4.35277 , -0.0246406 , 0.00888108 , 0.0890294 , 0.074642 , 7.63923e-05 , 6.09341e-05 , 16.6312
94 , -0.0253201 , 0.247547 , 4.19355e-05 , -0.000463922 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00457374
94 , -0.814991 , -7.43014 , 0.00180952 , 0.0140532 , 0.0876967 , 0.0497756 , 7.50093e-05 , 3.5352e-05 , 8.00968
95 , -0.153636 , 0.0451391 , 0.000283829 , -7.03692e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0264614
95 , -12.546 , 0.00808307 , 0.0233292 , 0.000684098 , 0.0890797 , 0.0747185 , 7.64409e-05 , 6.10824e-05 , 18.1921
96 , -0.149401 , -0.202854 , 0.000286967 , 0.000387365 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00437126
